seg_id,street_name,lat,lng,seg_start_lat,seg_start_lng,seg_end_lat,seg_end_lng,direction,length_m,highway_type,free_flow_speed,osm_u,osm_v
SEG_0532,Road 3,23.218571,72.636765,23.218264,72.637339,23.218877,72.636192,WESTBOUND,135.6,tertiary,45,3900980360,3900980361
SEG_0533,Road 3,23.219031,72.635907,23.218877,72.636192,23.219185,72.635622,WESTBOUND,67.5,tertiary,45,3900980361,3900980362
SEG_0534,Road 3,23.21954,72.63491,23.219185,72.635622,23.219896,72.634197,WESTBOUND,166.6,tertiary,45,3900980362,3900980366
SEG_0535,G Road,23.21925,72.633696,23.219891,72.634089,23.218609,72.633304,SOUTHBOUND,163.6,tertiary,45,3900980365,3904527774
SEG_0536,Road 3,23.219632,72.634965,23.220035,72.634281,23.219228,72.63565,EASTBOUND,166.8,tertiary,45,3900980375,780343873
SEG_0537,Road 3,23.220832,72.63254,23.220048,72.633994,23.221617,72.631087,WESTBOUND,344.5,tertiary,45,3900980376,3900980392
SEG_0538,G Road,23.220927,72.634634,23.220152,72.634136,23.221702,72.635131,NORTHBOUND,200.2,tertiary,45,3900980386,3904527040
SEG_0539,Road 3,23.221701,72.63093,23.221617,72.631087,23.221786,72.630773,WESTBOUND,37.1,tertiary,45,3900980392,3901906068
SEG_0540,G Road,23.22467,72.636988,23.224181,72.636683,23.225158,72.637294,NORTHBOUND,125.3,tertiary,45,3900980397,11729807875
SEG_0541,G Road,23.232988,72.64219,23.232673,72.641992,23.233302,72.642388,NORTHBOUND,80.7,tertiary,45,3900980406,3900980408
SEG_0542,G Road,23.234507,72.643133,23.233302,72.642388,23.235712,72.643878,NORTHBOUND,308.2,tertiary,45,3900980408,3900980409
SEG_0543,G Road,23.236206,72.644184,23.235712,72.643878,23.2367,72.64449,NORTHBOUND,126.5,tertiary,45,3900980409,3900980411
SEG_0544,GH-6 Circle,23.241487,72.656407,23.241443,72.656376,23.241531,72.656438,NORTHBOUND,11.7,secondary,55,3900987833,441130245
SEG_0545,Road 6,23.242165,72.654986,23.241443,72.656376,23.242886,72.653595,WESTBOUND,326.3,tertiary,45,3900987833,3900987834
SEG_0546,Road 6,23.243083,72.653243,23.242886,72.653595,23.24328,72.65289,WESTBOUND,84.3,tertiary,45,3900987834,3900987835
SEG_0547,Road 6,23.243625,72.65224,23.24328,72.65289,23.243971,72.65159,WESTBOUND,153.4,tertiary,45,3900987835,8386918655
SEG_0548,Road 6,23.246742,72.646405,23.246697,72.646488,23.246786,72.646321,WESTBOUND,19.7,tertiary,45,3900987838,3900987839
SEG_0549,Road 6,23.246982,72.645958,23.246786,72.646321,23.247177,72.645594,WESTBOUND,86.1,tertiary,45,3900987839,3900987840
SEG_0550,Road 6,23.247831,72.644364,23.247177,72.645594,23.248484,72.643135,WESTBOUND,290.2,tertiary,45,3900987840,3459077123
SEG_0551,KH Road,23.247806,72.642508,23.247116,72.642079,23.248496,72.642938,NORTHBOUND,176.7,secondary,55,3900987920,3459077124
SEG_0552,Road 6,23.250308,72.63983,23.250446,72.639567,23.250171,72.640092,EASTBOUND,61.7,tertiary,45,3900987923,8396074830
