seg_id,street_name,lat,lng,seg_start_lat,seg_start_lng,seg_end_lat,seg_end_lng,direction,length_m,highway_type,free_flow_speed,osm_u,osm_v
SEG_6253,Unnamed_6253,23.214023,72.640852,23.214254,72.640996,23.213792,72.640708,SOUTHBOUND,59.2,residential,30,3902994102,3902993730
SEG_6254,Unnamed_6254,23.214217,72.641141,23.214254,72.640996,23.21418,72.641287,EASTBOUND,35.1,residential,30,3902994102,3902994101
SEG_6255,Unnamed_6255,23.214251,72.642529,23.214361,72.642598,23.214141,72.642461,SOUTHBOUND,28.2,residential,30,3902994103,3415964706
SEG_6256,Unnamed_6256,23.214473,72.642667,23.214361,72.642598,23.214585,72.642737,NORTHBOUND,28.6,residential,30,3902994103,3415950901
SEG_6257,Unnamed_6257,23.21454,72.642259,23.214361,72.642598,23.214718,72.64192,WESTBOUND,79.9,residential,30,3902994103,3902994109
SEG_6258,Unnamed_6258,23.214302,72.640064,23.214412,72.640131,23.214193,72.639997,SOUTHBOUND,28.0,residential,30,3902994104,3902994099
SEG_6259,Unnamed_6259,23.214519,72.640197,23.214412,72.640131,23.214627,72.640264,NORTHBOUND,27.4,residential,30,3902994104,3902994107
SEG_6260,Unnamed_6260,23.214286,72.64038,23.214412,72.640131,23.21416,72.640628,EASTBOUND,58.0,residential,30,3902994104,3902994100
SEG_6261,Unnamed_6261,23.214608,72.641851,23.214498,72.641783,23.214718,72.64192,NORTHBOUND,28.2,residential,30,3902994105,3902994109
SEG_6262,Unnamed_6262,23.214557,72.64167,23.214498,72.641783,23.214616,72.641558,WESTBOUND,26.4,residential,30,3902994105,3415968894
SEG_6263,Unnamed_6263,23.214377,72.642013,23.214498,72.641783,23.214256,72.642243,EASTBOUND,54.2,residential,30,3902994105,3415950702
SEG_6264,Unnamed_6264,23.21468,72.640952,23.214576,72.640887,23.214783,72.641017,NORTHBOUND,26.6,residential,30,3902994106,3902994111
SEG_6265,Unnamed_6265,23.214706,72.64064,23.214576,72.640887,23.214836,72.640392,WESTBOUND,58.3,residential,30,3902994106,3902994112
SEG_6266,Unnamed_6266,23.214476,72.640825,23.214576,72.640887,23.214376,72.640763,SOUTHBOUND,25.6,residential,30,3902994106,3415964801
SEG_6267,Unnamed_6267,23.214519,72.640197,23.214627,72.640264,23.214412,72.640131,SOUTHBOUND,27.4,residential,30,3902994107,3902994104
SEG_6268,Unnamed_6268,23.214731,72.640328,23.214627,72.640264,23.214836,72.640392,NORTHBOUND,26.7,residential,30,3902994107,3902994112
SEG_6269,Unnamed_6269,23.214501,72.640513,23.214627,72.640264,23.214376,72.640763,EASTBOUND,58.1,residential,30,3902994107,3415964801
SEG_6270,Unnamed_6270,23.214647,72.642618,23.21471,72.6425,23.214585,72.642737,EASTBOUND,27.9,residential,30,3902994108,3415950901
SEG_6271,Unnamed_6271,23.214766,72.642392,23.21471,72.6425,23.214823,72.642285,WESTBOUND,25.3,residential,30,3902994108,3902994113
SEG_6272,Unnamed_6272,23.214906,72.642622,23.21471,72.6425,23.215102,72.642744,NORTHBOUND,50.3,residential,30,3902994108,3902993735
SEG_6273,Unnamed_6273,23.21483,72.641989,23.214718,72.64192,23.214942,72.642059,NORTHBOUND,28.6,residential,30,3902994109,3415967997
SEG_6274,Unnamed_6274,23.214608,72.641851,23.214718,72.64192,23.214498,72.641783,SOUTHBOUND,28.2,residential,30,3902994109,3902994105
SEG_6275,Unnamed_6275,23.21454,72.642259,23.214718,72.64192,23.214361,72.642598,EASTBOUND,79.9,residential,30,3902994109,3902994103
SEG_6276,Unnamed_6276,23.214811,72.641188,23.214749,72.641305,23.214872,72.641072,WESTBOUND,27.4,residential,30,3902994110,3415968895
SEG_6277,Unnamed_6277,23.214683,72.641431,23.214749,72.641305,23.214616,72.641558,EASTBOUND,29.9,residential,30,3902994110,3415968894
SEG_6278,Unnamed_6278,23.214502,72.64115,23.214749,72.641305,23.214254,72.640996,SOUTHBOUND,63.5,residential,30,3902994110,3902994102
SEG_6279,Unnamed_6279,23.214828,72.641044,23.214783,72.641017,23.214872,72.641072,NORTHBOUND,11.3,residential,30,3902994111,3415968895
SEG_6280,Unnamed_6280,23.21468,72.640952,23.214783,72.641017,23.214576,72.640887,SOUTHBOUND,26.6,residential,30,3902994111,3902994106
SEG_6281,Unnamed_6281,23.214915,72.640769,23.214783,72.641017,23.215046,72.640521,WESTBOUND,58.4,residential,30,3902994111,3902993733
SEG_6282,Unnamed_6282,23.214731,72.640328,23.214836,72.640392,23.214627,72.640264,SOUTHBOUND,26.7,residential,30,3902994112,3902994107
SEG_6283,Unnamed_6283,23.214941,72.640457,23.214836,72.640392,23.215046,72.640521,NORTHBOUND,26.8,residential,30,3902994112,3902993733
SEG_6284,Unnamed_6284,23.214706,72.64064,23.214836,72.640392,23.214576,72.640887,EASTBOUND,58.3,residential,30,3902994112,3902994106
SEG_6285,Unnamed_6285,23.214766,72.642392,23.214823,72.642285,23.21471,72.6425,EASTBOUND,25.3,residential,30,3902994113,3902994108
SEG_6286,Unnamed_6286,23.214882,72.642172,23.214823,72.642285,23.214942,72.642059,WESTBOUND,26.6,residential,30,3902994113,3415967997
SEG_6287,Unnamed_6287,23.215018,72.642407,23.214823,72.642285,23.215214,72.642528,NORTHBOUND,50.1,residential,30,3902994113,3902993737
SEG_6288,Unnamed_6288,23.215001,72.641401,23.214902,72.641589,23.2151,72.641214,WESTBOUND,44.2,residential,30,3902994114,3902993734
SEG_6289,Unnamed_6289,23.216643,72.637971,23.216499,72.638241,23.216788,72.637701,WESTBOUND,63.9,residential,30,3904526984,3905085528
SEG_6290,Unnamed_6290,23.216437,72.638358,23.216499,72.638241,23.216375,72.638475,EASTBOUND,27.6,residential,30,3904526984,780394809
SEG_6291,Unnamed_6291,23.216624,72.638306,23.216499,72.638241,23.216749,72.63837,NORTHBOUND,30.7,residential,30,3904526984,3904526986
SEG_6292,Unnamed_6292,23.216884,72.638104,23.216749,72.63837,23.217019,72.637839,WESTBOUND,62.0,residential,30,3904526986,3904526991
SEG_6293,Unnamed_6293,23.216624,72.638306,23.216749,72.63837,23.216499,72.638241,SOUTHBOUND,30.7,residential,30,3904526986,3904526984
SEG_6294,Unnamed_6294,23.216857,72.638435,23.216749,72.63837,23.216965,72.638501,NORTHBOUND,27.5,residential,30,3904526986,3904778311
SEG_6295,Unnamed_6295,23.216884,72.638104,23.217019,72.637839,23.216749,72.63837,EASTBOUND,62.0,residential,30,3904526991,3904526986
SEG_6296,Unnamed_6296,23.217127,72.637904,23.217019,72.637839,23.217236,72.637969,NORTHBOUND,27.5,residential,30,3904526991,3904778315
SEG_6297,Unnamed_6297,23.216903,72.63777,23.217019,72.637839,23.216788,72.637701,SOUTHBOUND,29.4,residential,30,3904526991,3905085528
SEG_6298,Unnamed_6298,23.21741,72.638074,23.217584,72.63818,23.217236,72.637969,SOUTHBOUND,44.3,residential,30,3904526997,3904778315
SEG_6299,Unnamed_6299,23.218072,72.63668,23.218279,72.636801,23.217866,72.636559,SOUTHBOUND,52.1,residential,30,3904526998,3904527770
SEG_6300,Unnamed_6300,23.22061,72.633873,23.220517,72.634047,23.220702,72.6337,WESTBOUND,41.1,residential,30,3904527000,3904527002
SEG_6301,Unnamed_6301,23.220621,72.63412,23.220517,72.634047,23.220724,72.634193,NORTHBOUND,27.5,residential,30,3904527000,3904527004
SEG_6302,Unnamed_6302,23.220564,72.633844,23.220517,72.634047,23.22061,72.633641,WESTBOUND,54.6,residential,30,3904527000,3904778344
SEG_6303,Unnamed_6303,23.22061,72.633873,23.220702,72.6337,23.220517,72.634047,EASTBOUND,41.1,residential,30,3904527002,3904527000
SEG_6304,Unnamed_6304,23.220656,72.63367,23.220702,72.6337,23.22061,72.633641,SOUTHBOUND,11.8,residential,30,3904527002,3904778344
SEG_6305,Unnamed_6305,23.220809,72.633767,23.220702,72.6337,23.220916,72.633835,NORTHBOUND,27.5,residential,30,3904527002,3904527007
SEG_6306,Unnamed_6306,23.22082,72.634014,23.220724,72.634193,23.220916,72.633835,WESTBOUND,42.4,residential,30,3904527004,3904527007
SEG_6307,Unnamed_6307,23.220831,72.634257,23.220724,72.634193,23.220938,72.634321,NORTHBOUND,27.1,residential,30,3904527004,3904527009
SEG_6308,Unnamed_6308,23.220621,72.63412,23.220724,72.634193,23.220517,72.634047,SOUTHBOUND,27.5,residential,30,3904527004,3904527000
SEG_6309,Unnamed_6309,23.22082,72.634014,23.220916,72.633835,23.220724,72.634193,EASTBOUND,42.4,residential,30,3904527007,3904527004
SEG_6310,Unnamed_6310,23.220809,72.633767,23.220916,72.633835,23.220702,72.6337,SOUTHBOUND,27.5,residential,30,3904527007,3904527002
SEG_6311,Unnamed_6311,23.220976,72.633872,23.220916,72.633835,23.221036,72.63391,NORTHBOUND,15.4,residential,30,3904527007,3904778353
SEG_6312,Unnamed_6312,23.221033,72.634144,23.220938,72.634321,23.221127,72.633968,WESTBOUND,41.7,residential,30,3904527009,3904527013
SEG_6313,Unnamed_6313,23.221049,72.63439,23.220938,72.634321,23.22116,72.63446,NORTHBOUND,28.4,residential,30,3904527009,3904527014
SEG_6314,Unnamed_6314,23.220831,72.634257,23.220938,72.634321,23.220724,72.634193,SOUTHBOUND,27.1,residential,30,3904527009,3904527004
SEG_6315,Unnamed_6315,23.221033,72.634144,23.221127,72.633968,23.220938,72.634321,EASTBOUND,41.7,residential,30,3904527013,3904527009
SEG_6316,Unnamed_6316,23.221081,72.633939,23.221127,72.633968,23.221036,72.63391,SOUTHBOUND,11.7,residential,30,3904527013,3904778353
SEG_6317,Unnamed_6317,23.221237,72.634038,23.221127,72.633968,23.221347,72.634107,NORTHBOUND,28.4,residential,30,3904527013,3904527020
SEG_6318,Unnamed_6318,23.221254,72.634284,23.22116,72.63446,23.221347,72.634107,WESTBOUND,41.6,residential,30,3904527014,3904527020
SEG_6319,Unnamed_6319,23.221268,72.634523,23.22116,72.63446,23.221377,72.634586,NORTHBOUND,27.4,residential,30,3904527014,3904527022
SEG_6320,Unnamed_6320,23.221049,72.63439,23.22116,72.63446,23.220938,72.634321,SOUTHBOUND,28.4,residential,30,3904527014,3904527009
SEG_6321,Unnamed_6321,23.221254,72.634284,23.221347,72.634107,23.22116,72.63446,EASTBOUND,41.6,residential,30,3904527020,3904527014
SEG_6322,Unnamed_6322,23.221237,72.634038,23.221347,72.634107,23.221127,72.633968,SOUTHBOUND,28.4,residential,30,3904527020,3904527013
SEG_6323,Unnamed_6323,23.221454,72.634174,23.221347,72.634107,23.22156,72.634242,NORTHBOUND,27.4,residential,30,3904527020,3904527027
SEG_6324,Unnamed_6324,23.221469,72.634414,23.221377,72.634586,23.22156,72.634242,WESTBOUND,40.7,residential,30,3904527022,3904527027
SEG_6325,Unnamed_6325,23.221481,72.63466,23.221377,72.634586,23.221585,72.634733,NORTHBOUND,27.6,residential,30,3904527022,3904527028
SEG_6326,Unnamed_6326,23.221268,72.634523,23.221377,72.634586,23.22116,72.63446,SOUTHBOUND,27.4,residential,30,3904527022,3904527014
SEG_6327,Unnamed_6327,23.221469,72.634414,23.22156,72.634242,23.221377,72.634586,EASTBOUND,40.7,residential,30,3904527027,3904527022
SEG_6328,Unnamed_6328,23.221454,72.634174,23.22156,72.634242,23.221347,72.634107,SOUTHBOUND,27.4,residential,30,3904527027,3904527020
SEG_6329,Unnamed_6329,23.221581,72.634254,23.22156,72.634242,23.221601,72.634267,NORTHBOUND,5.2,residential,30,3904527027,3904778673
SEG_6330,Unnamed_6330,23.22168,72.634555,23.221585,72.634733,23.221775,72.634377,WESTBOUND,42.1,residential,30,3904527028,3904527038
SEG_6331,Unnamed_6331,23.2217,72.634813,23.221585,72.634733,23.221814,72.634892,NORTHBOUND,30.2,residential,30,3904527028,11301557973
SEG_6332,Unnamed_6332,23.221481,72.63466,23.221585,72.634733,23.221377,72.634586,SOUTHBOUND,27.6,residential,30,3904527028,3904527022
SEG_6333,Unnamed_6333,23.22168,72.634555,23.221775,72.634377,23.221585,72.634733,EASTBOUND,42.1,residential,30,3904527038,3904527028
SEG_6334,Unnamed_6334,23.221688,72.634322,23.221775,72.634377,23.221601,72.634267,SOUTHBOUND,22.4,residential,30,3904527038,3904778673
SEG_6335,Unnamed_6335,23.221884,72.634446,23.221775,72.634377,23.221992,72.634514,NORTHBOUND,27.9,residential,30,3904527038,3904527049
SEG_6336,Unnamed_6336,23.221758,72.635012,23.221702,72.635131,23.221814,72.634892,WESTBOUND,27.5,residential,30,3904527040,11301557973
SEG_6337,G Road,23.222837,72.635841,23.221702,72.635131,23.223972,72.636551,NORTHBOUND,291.1,tertiary,40,3904527040,3905116210
SEG_6338,Road 3,23.221993,72.630398,23.221956,72.630458,23.22203,72.630338,WESTBOUND,14.9,tertiary,40,3904527046,3904778693
SEG_6339,Unnamed_6339,23.221903,72.634703,23.221992,72.634514,23.221814,72.634892,EASTBOUND,43.3,residential,30,3904527049,11301557973
SEG_6340,Unnamed_6340,23.221884,72.634446,23.221992,72.634514,23.221775,72.634377,SOUTHBOUND,27.9,residential,30,3904527049,3904527038
SEG_6341,Unnamed_6341,23.222023,72.634531,23.221992,72.634514,23.222054,72.634548,NORTHBOUND,7.7,residential,30,3904527049,3904778698
SEG_6342,Unnamed_6342,23.222114,72.634825,23.222021,72.635,23.222208,72.634651,WESTBOUND,41.3,residential,30,3904527054,3904527962
SEG_6343,Unnamed_6343,23.222153,72.635091,23.222021,72.635,23.222286,72.635181,NORTHBOUND,34.7,residential,30,3904527054,3905116192
SEG_6344,Unnamed_6344,23.221918,72.634946,23.222021,72.635,23.221814,72.634892,SOUTHBOUND,25.5,residential,30,3904527054,11301557973
SEG_6345,Unnamed_6345,23.202666,72.647908,23.202755,72.647742,23.202578,72.648073,EASTBOUND,39.1,residential,30,3904527431,3415962193
SEG_6346,Unnamed_6346,23.202807,72.647645,23.202755,72.647742,23.202859,72.647548,WESTBOUND,23.0,residential,30,3904527431,3901046298
SEG_6347,Unnamed_6347,23.202461,72.647774,23.202755,72.647742,23.202167,72.647807,SOUTHBOUND,89.0,residential,30,3904527431,8357056464
SEG_6348,Unnamed_6348,23.20372,72.645505,23.203413,72.645308,23.204028,72.645701,NORTHBOUND,79.4,residential,30,3904527432,3904527435
SEG_6349,Unnamed_6349,23.203332,72.64548,23.203413,72.645308,23.203251,72.645651,EASTBOUND,39.4,residential,30,3904527432,8357056469
SEG_6350,Unnamed_6350,23.203495,72.645133,23.203413,72.645308,23.203578,72.644957,WESTBOUND,40.3,residential,30,3904527432,3904527433
SEG_6351,Unnamed_6351,23.203898,72.645161,23.203578,72.644957,23.204218,72.645364,NORTHBOUND,82.4,residential,30,3904527433,3904527437
SEG_6352,Unnamed_6352,23.203495,72.645133,23.203578,72.644957,23.203413,72.645308,EASTBOUND,40.3,residential,30,3904527433,3904527432
SEG_6353,Unnamed_6353,23.203982,72.645001,23.203578,72.644957,23.204387,72.645044,NORTHBOUND,120.5,residential,30,3904527433,3904527438
SEG_6354,Unnamed_6354,23.203939,72.645877,23.204028,72.645701,23.20385,72.646053,EASTBOUND,41.0,residential,30,3904527435,3415964093
SEG_6355,Unnamed_6355,23.204083,72.645608,23.204028,72.645701,23.204137,72.645515,WESTBOUND,22.5,residential,30,3904527435,3415964194
SEG_6356,Unnamed_6356,23.20372,72.645505,23.204028,72.645701,23.203413,72.645308,SOUTHBOUND,79.4,residential,30,3904527435,3904527432
SEG_6357,Unnamed_6357,23.204273,72.644065,23.204141,72.643983,23.204404,72.644148,NORTHBOUND,33.7,residential,30,3904527436,3904527439
SEG_6358,Unnamed_6358,23.204178,72.64544,23.204218,72.645364,23.204137,72.645515,EASTBOUND,17.9,residential,30,3904527437,3415964194
SEG_6359,Unnamed_6359,23.204302,72.645204,23.204218,72.645364,23.204387,72.645044,WESTBOUND,37.7,residential,30,3904527437,3904527438
SEG_6360,Unnamed_6360,23.203898,72.645161,23.204218,72.645364,23.203578,72.644957,SOUTHBOUND,82.4,residential,30,3904527437,3904527433
SEG_6361,Unnamed_6361,23.204302,72.645204,23.204387,72.645044,23.204218,72.645364,EASTBOUND,37.7,residential,30,3904527438,3904527437
SEG_6362,Unnamed_6362,23.20447,72.644891,23.204387,72.645044,23.204553,72.644739,WESTBOUND,36.3,residential,30,3904527438,3415964096
SEG_6363,Unnamed_6363,23.203982,72.645001,23.204387,72.645044,23.203578,72.644957,SOUTHBOUND,120.5,residential,30,3904527438,3904527433
SEG_6364,Unnamed_6364,23.204273,72.644065,23.204404,72.644148,23.204141,72.643983,SOUTHBOUND,33.7,residential,30,3904527439,3904527436
SEG_6365,Unnamed_6365,23.204584,72.644262,23.204404,72.644148,23.204764,72.644377,NORTHBOUND,46.3,residential,30,3904527439,3904527442
SEG_6366,Unnamed_6366,23.204718,72.644022,23.204404,72.644148,23.205033,72.643896,NORTHBOUND,101.6,residential,30,3904527439,3904776454
SEG_6367,Unnamed_6367,23.205056,72.649444,23.204739,72.650057,23.205373,72.648832,WESTBOUND,143.7,residential,30,3904527441,3904778257
SEG_6368,Unnamed_6368,23.204493,72.649899,23.204739,72.650057,23.204246,72.649742,SOUTHBOUND,63.6,residential,30,3904527441,3415951796
SEG_6369,Unnamed_6369,23.205351,72.65027,23.204739,72.650057,23.205962,72.650484,NORTHBOUND,148.1,residential,30,3904527441,3415957319
SEG_6370,Unnamed_6370,23.204658,72.644558,23.204764,72.644377,23.204553,72.644739,EASTBOUND,43.8,residential,30,3904527442,3415964096
SEG_6371,Unnamed_6371,23.204898,72.644137,23.204764,72.644377,23.205033,72.643896,WESTBOUND,57.5,residential,30,3904527442,3904776454
SEG_6372,Unnamed_6372,23.204584,72.644262,23.204764,72.644377,23.204404,72.644148,SOUTHBOUND,46.3,residential,30,3904527442,3904527439
SEG_6373,Unnamed_6373,23.20496,72.644501,23.204764,72.644377,23.205156,72.644625,NORTHBOUND,50.5,residential,30,3904527442,3904527444
SEG_6374,Unnamed_6374,23.20496,72.644501,23.205156,72.644625,23.204764,72.644377,SOUTHBOUND,50.5,residential,30,3904527444,3904527442
SEG_6375,Unnamed_6375,23.205339,72.644742,23.205156,72.644625,23.205522,72.644859,NORTHBOUND,47.2,residential,30,3904527444,3904527448
SEG_6376,Unnamed_6376,23.205282,72.644388,23.205156,72.644625,23.205408,72.64415,WESTBOUND,56.0,residential,30,3904527444,3904778258
